tweet_id,text,user_id,created_at
1875904106541559808,Surat Edaran (SE) Ditjen Pendis Kemenag Nomor 10 tahun 2024 mengatur Panduan Makan Bergizi Gratis (MBG) di Lingkungan Pesantren. https://t.co/v7XzzytMsC,1666303982007111680,2025-01-05 13:56:06+00:00
1908514097764897024,"PROGRAM MAKAN BERGIZI GRATIS UNTUK ANEUK ACEH
#PenuhiGiziIndonesia #Indonesiaemas #AstaCita #Indonesiamaju #GiziBaik #MakananBergizi https://t.co/meOBxfrZ45",1356909896738820096,2025-04-05 13:36:34+00:00
1879292908261794304,"@abu_waras @prabowo Sdh pertengahan Januari 2025, sampai skrg blm ada list yg pasti disekolah2 dan dimasyarakat mana saja yg dapat makan MBG setiap hari pd tahun ini. Yg ada skrg baru berupa uji coba yg gak pasti yg sifatnya acak.",553451866,2025-01-14 22:21:59+00:00
1895133428124918272,@bahlilngntot @tanyakanrl Agen mbg,1300748401890320384,2025-02-27 15:26:33+00:00
1978962010009223168,"Program MBG = bukan bisnis. Ini gerakan sosial yang peduli sama kesehatan anak-anak. Kita percaya semua anak Indonesia punya hak buat makan sehat, tanpa mikir biaya. https://t.co/wtTEKfMh6T",1910040869513879552,2025-10-16 23:11:25+00:00
1899268420857958656,Makanan bergizi adalah hak semua orang. Ayo dukung program makan bergizi gratis agar setiap anak mendapatkan asupan yang mereka butuhkan! #DukungMakanBergizi #SehatUntukSemua https://t.co/XECEpHdlFW,109524644,2025-03-11 01:17:32+00:00
1943653765791256832,"Seribu manfaat dari Program Makan Bergizi Gratis.
#ManfaatMakanBergiziGratis
#MakanBergiziGratis
#ProgramMakanBergiziGratis
#DukungProgramMakanBergiziGratis https://t.co/prDfGMr5eQ",1582556285358129152,2025-07-11 12:49:03+00:00
1970963779145097216,MBG Makanan Beracun Gratis,1665242620006899712,2025-09-24 21:29:18+00:00
1964981430028845312,"@WagimanDeep212_ @prabowo Stop MBG Pak Presiden!  dananya dialihkan untuk gaji guru, perbaikan gedung sekolah.",1522517097502322688,2025-09-08 09:17:35+00:00
1895318106790338560,"@ssrieyono @yusuf_dumdum @prabowo Puasa MBG libur, efisiensi",1910375924,2025-02-28 03:40:24+00:00
1919777440714350848,"Cocok dah. 1 penyepong mbg, 1 nya penyepong ai",1256233965280780288,2025-05-06 15:33:04+00:00
1946900137680531712,"UMKM pangan punya peran besar dalam program MBG Pemerintah libatkan masyarakat dalam pembangunan gizi
#MBG #GenerasiEmas #EkonomiLokal #IndonesiaMaju https://t.co/IL3katt87u",812305110,2025-07-20 11:48:59+00:00
1886651224755417344,"@ardisatriawan Hasil efisiensi nya ke mana? Kementerian baru, wamen baru, utusan presiden, mbg, pembungkaman ormas, ...",1091576835849125888,2025-02-04 05:41:18+00:00
1955930147632165120,"MBG di Bantul Bebas Kasus Keracunan, Siswa Keluhkan Makanan Hambar https://t.co/MKMKRmsYUC https://t.co/uOYGO8cq3J",118371948,2025-08-14 09:51:01+00:00
1880296662310219776,"Di Saat Pemerintah Tawarkan Makan Bergizi Gratis Untuk Anak SLB: Menu Lezat dan Sehat Dapat Memukau! 

https://t.co/f4Ds5qQbkN",833782256837681152,2025-01-17 16:50:33+00:00
1975646301846172160,"@GelarPrakosa Masak utk MBG, pak? 

🙈🙈🙈",1294656329085095936,2025-10-07 19:35:58+00:00
1878954210219409664,@PelatihT1dur mending buat nambahin kualitas MBG 👍,809082996,2025-01-13 23:56:07+00:00
1904019584526811648,Program Makan Bergizi Gratis saat Ramadhan di Kalbar #makanbergizigratis https://t.co/cJOGdrCDfS,2533844444,2025-03-24 03:56:58+00:00
1915427077748388352,"Program Makan Bergizi Gratis, Merupakan Upaya Pemerintah dalam Penuhi Kebutuhan Gizi  Anak Indonesia

#MBG
#MakanBergiziGratis
#IndonesiaEmas2045
#LawanStunting https://t.co/bVkTmr3iS2",1549650487573524480,2025-04-24 15:26:16+00:00
1981710340661608704,MAKAN BERGIZI GRATIS BERSAMA SMM DI GELORA TAMBAKSARI SURABAYA https://t.co/9M9K6GKWDS,1737471380101197824,2025-10-24 13:12:18+00:00
1952264886203134464,Dukung makan bergizi gratis agar setiap anak punya hak atas gizi seimbang   #ManfaatMakanBergiziGratis #MakanBergiziGratis #ProgramMakanBergiziGratis #DukungProgramMakanBergiziGratis https://t.co/gz1LCcpnQH,1482209403676020736,2025-08-04 07:06:34+00:00
1968005449325887744,"@barengwarga kemarahan sejati harus diarahkan ke Istana Negara yg balikin pengaturan keuangan negara kita ke Orde Baru 🤬

Ibarat dwifungsi ABRI, ini tuh dwifungsi moneter yg artinya eksekutif campur tangan utak-atik bank sentral utk biayai MBG dan proyek2 bancakan mereka https://t.co/QbDTaxDqG4",160464450,2025-09-16 17:33:57+00:00
