user,degree_centrality,betweenness,eigenvector,tweet_volume,token_count,hashtag_count,mention_count,url_count,sentiment_score,unique_topic_count,stance_entropy,anomaly_flag,anomaly_raw,amplification_proxy
prabowo,0.06387061403508772,0.17346683442623256,0,,,,,,,,,,,
arsipaja,0.03691520467836257,0.09633354934867877,0,,,,,,,,,,,
1720665183188922368,0.027046783625730993,0.09896059557185272,0,167.0,23.75449101796407,0.0,2.6407185628742513,0.11976047904191617,-0.01906500765663421,25.0,1.5050435646409972,-1.0,-0.1394937335148374,1.0
kompascom,0.021381578947368418,0.05516668201762819,0,,,,,,,,,,,
txtdrimedia,0.019462719298245612,0.039275951870428705,0,,,,,,,,,,,
tempodotco,0.015259502923976608,0.03333506339522457,0,,,,,,,,,,,
multibank_io,0.010964912280701754,0.0004435103110055134,0,,,,,,,,,,,
ds_yantie,0.010873538011695907,0.008625671672885159,0,,,,,,,,,,,
cnnindonesia,0.009959795321637425,0.010125887462482249,0,,,,,,,,,,,
tanyarlfes,0.009502923976608187,0.026447834192306237,0,,,,,,,,,,,
758215573721407488,0.009137426900584795,0.0426932571809414,0,56.0,5.892857142857143,0.0,1.9464285714285714,0.017857142857142856,0.013796212949923106,13.0,0.5983801946391052,-1.0,-0.10387326545733722,1.0
gerindra,0.008954678362573099,0.010864402259293285,0,,,,,,,,,,,
1860001998525071360,0.008680555555555556,0.009333593742869576,0,3.0,32.666666666666664,0.0,50.0,0.6666666666666666,0.0,2.0,1.584962496393071,-1.0,-0.10339743986749006,1.0
tanyakanrl,0.00758406432748538,0.024385618249424566,0,,,,,,,,,,,
1047343156944023552,0.00712719298245614,0.026993817374563144,0,44.0,9.068181818181818,0.25,2.0,0.0,0.014666344631801952,14.0,0.1564910600203115,-1.0,-0.10559813946512875,1.0
1725661893698912256,0.00712719298245614,0.020069079810827627,0,48.0,7.5,0.041666666666666664,1.8541666666666667,0.0625,0.012335972860455513,12.0,0.785235438063458,-1.0,-0.11331801367112726,1.0
kangmanto123,0.00712719298245614,0.008748373366708452,0,,,,,,,,,,,
detikcom,0.006396198830409356,0.004640469270705669,0,,,,,,,,,,,
barengwarga,0.0061220760233918125,0.009649365524904929,0,,,,,,,,,,,
mdy_asmara1701,0.006030701754385965,0.005607934592227772,0,,,,,,,,,,,
1725413776508497920,0.005665204678362573,0.01176122051560251,0,46.0,15.869565217391305,0.021739130434782608,2.152173913043478,0.043478260869565216,0.024449375660523125,13.0,0.6152538881709508,-1.0,-0.10519465481959567,1.0
1719343607243837440,0.005482456140350877,0.013388968222689134,0,31.0,8.03225806451613,0.06451612903225806,2.193548387096774,0.06451612903225806,-0.04603549357383482,8.0,0.5547781604558836,-1.0,-0.09741453573534575,1.0
gibran_tweet,0.005116959064327485,0.016043735743344067,0,,,,,,,,,,,
grok,0.004751461988304093,0.013919426052675736,0,,,,,,,,,,,
anak__ogi,0.004751461988304093,0.00688834569869701,0,,,,,,,,,,,
bospurwa,0.004660087719298245,0.015300816762436328,0,,,,,,,,,,,
1373933350423990272,0.004660087719298245,0.009022651661391611,0,27.0,10.185185185185185,0.2222222222222222,1.9259259259259258,0.0,0.0016483465830485027,9.0,0.6052912008980595,-1.0,-0.09152705759717816,1.0
1813506920973762560,0.004660087719298245,0.005978928688230477,0,2.0,8.5,0.0,26.0,1.0,0.0,2.0,0.99999999711461,-1.0,-0.02186530165126288,0.0
indopopbase,0.004660087719298245,0.004958708661400105,0,,,,,,,,,,,
nenkmonica,0.0042945906432748536,0.0030612835886572277,0,,,,,,,,,,,
1373927661970493440,0.004203216374269006,0.0070177945812484955,0,28.0,10.5,0.10714285714285714,1.75,0.03571428571428571,0.0954867537532534,8.0,0.589626176859229,-1.0,-0.08538578476897318,1.0
kompastv,0.004203216374269006,0.003030196412457538,0,,,,,,,,,,,
ary_praske2,0.00402046783625731,0.007203713761171584,0,,,,,,,,,,,
ardisatriawan,0.003837719298245614,0.013080418303297934,0,,,,,,,,,,,
bangsaygsujud,0.003837719298245614,0.0015764348880020031,0,,,,,,,,,,,
kimberley_ps08,0.003837719298245614,0.0013323396422849304,0,,,,,,,,,,,
tirtoid,0.003746345029239766,0.0027476658242250626,0,,,,,,,,,,,
ndons_back,0.003746345029239766,0.00112279617191385,0,,,,,,,,,,,
844206338297159680,0.003654970760233918,0.0019314822016699407,0,6.0,11.333333333333334,0.0,6.833333333333333,0.3333333333333333,0.0,2.0,1.2516291630597378,-1.0,-0.032183024434937924,1.0
ngkongroses,0.003472222222222222,0.0025468035688274693,0,,,,,,,,,,,
dpr_ri,0.003472222222222222,0.0016432228224502168,0,,,,,,,,,,,
1604088193196109824,0.003380847953216374,0.0065828232514896995,0,17.0,20.764705882352942,2.0,4.529411764705882,0.0,-0.051211991730858296,6.0,1.1660870557783083,-1.0,-0.11423446608450183,2.0
1086651551232319488,0.003380847953216374,0.0037262078081902934,0,14.0,3.142857142857143,0.0,2.7857142857142856,0.0,0.02994970977306366,5.0,0.74959525437409,-1.0,-0.07895724666771764,1.0
kegblgnunfaedh,0.003380847953216374,0.00322949857229062,0,,,,,,,,,,,
99propaganda,0.003380847953216374,0.0009026679458544155,0,,,,,,,,,,,
abu_waras,0.003289473684210526,0.002640247316316615,0,,,,,,,,,,,
urrangawak,0.003198099415204678,0.001997633816908813,0,,,,,,,,,,,
are_inismyname,0.003198099415204678,0.0007152556309334872,0,,,,,,,,,,,
setkabgoid,0.003198099415204678,0.0006112186002288877,0,,,,,,,,,,,
